CountryID;CityID;DistrictID;LanguageID;DistrictName;Latitute;Longitude
BE;35176;33774;nl;Loenhout;51.4;4.65
BE;35176;35102;nl;Wuustwezel;51.3833333;4.6
BE;35177;33874;nl;Massenhoven;51.2;4.6166667
BE;35177;34335;nl;Pulderbos;51.2166667;4.6833333
BE;35177;34336;nl;Pulle;51.2;4.7
BE;35177;34857;nl;Viersel;51.1833333;4.6333333
BE;35177;35112;nl;Zandhoven;51.2166667;4.65
BE;35178;33295;nl;Halle;51.2333333;4.6333333
BE;35178;35139;nl;Zoersel;51.2666667;4.7
BE;35179;32771;nl;Burcht;51.2;4.35
BE;35179;35157;nl;Zwijndrecht;51.2166667;4.3333333
BE;35180;32597;nl;Berlaar;51.1166667;4.65
BE;35180;33182;nl;Gestel;51.1333333;4.65
BE;35181;32683;nl;Bonheiden;51.0333333;4.5333333
BE;35181;34401;nl;Rijmenam;51;4.5666667
BE;35182;32701;nl;Bornem;51.1;4.2333333
BE;35182;33422;nl;Hingene;51.1;4.2666667
BE;35182;33858;nl;Mariekerke;51.0666667;4.2
BE;35182;35017;nl;Weert;51.1;4.2
BE;35183;32690;nl;Booischot;51.05;4.7666667
BE;35183;33293;nl;Hallaar;51.0833333;4.7166667
BE;35183;33359;nl;Heist-op-den-Berg;51.0833333;4.7166667
BE;35183;33509;nl;Itegem;51.1;4.7333333
BE;35183;34545;nl;Schriek;51.0333333;4.6833333
BE;35183;35055;nl;Wiekevorst;51.1166667;4.7833333
BE;35184;33607;nl;Koningshooikt;51.1;4.6
BE;35184;33741;nl;Lier;51.1333333;4.5666667
BE;35185;33354;nl;Heffen;51.05;4.4166667
BE;35185;33447;nl;Hombeek;51.0166667;4.45
BE;35185;33696;nl;Leest;51.0333333;4.4166667
BE;35185;33885;nl;Mechelen;51.0333333;4.4666667
BE;35185;34040;nl;Muizen;51.0166667;4.5166667
BE;35185;34961;nl;Walem;51.0666667;4.4666667
BE;35186;32613;nl;Bevel;51.1333333;4.6833333
BE;35186;33580;nl;Kessel;51.1333333;4.6166667
BE;35186;34109;nl;Nijlen;51.1666667;4.65
BE;35187;32565;nl;Beerzel;51.0666667;4.6666667
BE;35187;34339;nl;Putte;51.0666667;4.6166667
BE;35187;35188;nl;Grasheide;51.0333333;4.65
BE;35187;35189;nl;Peulis;51.0333333;4.5833333
BE;35190;32746;nl;Breendonk;51.05;4.3333333
BE;35190;33746;nl;Liezele;51.0666667;4.2833333
BE;35190;34340;nl;Puurs;51.0833333;4.2833333
BE;35190;34455;nl;Ruisbroek;51.1;4.3333333
BE;35191;33765;nl;Lippelo;51.05;4.2666667
BE;35191;34210;nl;Oppuurs;51.0666667;4.25
BE;35191;34573;nl;Sint-Amands;51.05;4.2
BE;35192;34174;nl;Onze-Lieve-Vrouw-Waver;51.0666667;4.5666667
BE;35192;34601;nl;Sint-Katelijne-Waver;51.0666667;4.5333333
BE;35193;32647;nl;Blaasveld;51.05;4.3666667
BE;35193;33356;nl;Heindonk;51.0666667;4.4
BE;35193;34778;nl;Tisselt;51.0333333;4.3666667
BE;35193;35072;nl;Willebroek;51.0666667;4.3666667
BE;35194;32523;nl;Balen;51.1666667;5.15
BE;35194;34162;nl;Olmen;51.15;5.1666667
BE;35195;32560;nl;Beerse;51.3166667;4.8666667
BE;35195;34914;nl;Vlimmeren;51.3;4.7833333
BE;35196;32726;nl;Bouwel;51.1666667;4.7333333
BE;35196;33258;nl;Grobbendonk;51.2;4.7166667
BE;35197;33387;nl;Herentals;51.1833333;4.8333333
BE;35197;34021;nl;Morkhoven;51.1166667;4.8
BE;35197;34125;nl;Noorderwijk;51.15;4.8333333
BE;35198;33401;nl;Herselt;51.05;4.8833333
BE;35198;34359;nl;Ramsel;51.0333333;4.8166667
BE;35198;34819;nl;Varendonk;51.0666667;4.9333333
BE;35199;33455;nl;Hoogstraten;51.4;4.7666667
BE;35199;33890;nl;Meer;51.4333333;4.7333333
BE;35199;33895;nl;Meerle;51.4666667;4.8
BE;35199;33960;nl;Minderhout;51.4166667;4.7666667
BE;35199;35096;nl;Wortel;51.4;4.8
BE;35200;33477;nl;Houtvenne;51.05;4.8
BE;35200;33489;nl;Hulshout;51.0833333;4.7833333
BE;35200;35041;nl;Westmeerbeek;51.0666667;4.85
BE;35201;33565;nl;Kasterlee;51.25;4.95
BE;35201;33736;nl;Lichtaart;51.2333333;4.9
BE;35201;34762;nl;Tielen;51.2333333;4.8833333
BE;35202;32969;nl;Eindhout;51.1;5
BE;35202;34831;nl;Veerle;51.0666667;5
